system:index,LST,NDBI,NDVI,.geo
40,33.051575840000055,0.053595269883654394,0.40726035167328417,"{""type"":""Point"",""coordinates"":[77.4671537100464,23.292474292107407]}"
41,29.932632590000026,-0.04191770285860787,0.28852251109701965,"{""type"":""Point"",""coordinates"":[77.39394554194429,23.209661057754847]}"
42,29.493417020000038,0.041211621677313,0.25654874426140967,"{""type"":""Point"",""coordinates"":[77.48682776530055,23.256396866732064]}"
43,30.713650160000043,-0.013185553219950316,0.3560102301790281,"{""type"":""Point"",""coordinates"":[77.486238870509,23.3134203419874]}"
44,28.080065750000017,-0.1309260079751883,0.6631373187815606,"{""type"":""Point"",""coordinates"":[77.36580443100799,23.220402030665223]}"
45,31.451942480000014,-0.2141377209018891,0.5392459826946848,"{""type"":""Point"",""coordinates"":[77.49187612780474,23.216382453627975]}"
46,29.932632590000026,-0.15905439522607298,0.48660582867235797,"{""type"":""Point"",""coordinates"":[77.38738791984103,23.31907049873293]}"
47,31.414344260000007,0.02372804015514488,0.42990810359231413,"{""type"":""Point"",""coordinates"":[77.38385284842909,23.235981398857504]}"
48,30.42653647999998,-0.20036934441366575,0.5262694452597593,"{""type"":""Point"",""coordinates"":[77.41562189770622,23.320023831168065]}"
49,31.28104148,0.10050251256281408,0.2483024408148284,"{""type"":""Point"",""coordinates"":[77.43321281194251,23.174069202011005]}"
50,33.530098640000006,0.08461388834857032,0.2949917446340121,"{""type"":""Point"",""coordinates"":[77.47199891107438,23.30614005198953]}"
51,28.69360033999999,-0.050488599348534204,0.5458358298382265,"{""type"":""Point"",""coordinates"":[77.38824875275296,23.17982686127172]}"
52,31.11355850000001,-0.02125813449023861,0.3654292343387471,"{""type"":""Point"",""coordinates"":[77.44924296953583,23.32031384776255]}"
53,30.585474410000018,-0.07881149537262543,0.5060519515843873,"{""type"":""Point"",""coordinates"":[77.3366558441972,23.214753852457434]}"
54,30.392356280000058,-0.11021159153633854,0.47422428536525774,"{""type"":""Point"",""coordinates"":[77.37755001547406,23.314695530702693]}"
55,28.60814984000001,0.13084546299163827,0.12812782634911063,"{""type"":""Point"",""coordinates"":[77.41034938389522,23.238917758146002]}"
56,32.13896450000004,-0.021142066785220313,0.38515143393192175,"{""type"":""Point"",""coordinates"":[77.45603821462933,23.281234481293374]}"
57,33.19684169000004,0.125638911788953,0.30214855739717617,"{""type"":""Point"",""coordinates"":[77.32055129815824,23.282243662153117]}"
58,28.232167640000057,-0.2567049808429119,0.6074284240392056,"{""type"":""Point"",""coordinates"":[77.42246481063474,23.345842211083422]}"
59,29.595957620000036,-0.055671005140544676,0.355998876088789,"{""type"":""Point"",""coordinates"":[77.44757037377751,23.27369048383952]}"
60,29.39429444000001,0.029898403483309143,0.39813136243201785,"{""type"":""Point"",""coordinates"":[77.40770699683773,23.172601822226813]}"
61,31.73392912999998,-0.09389113382457809,0.3859358530341816,"{""type"":""Point"",""coordinates"":[77.39956631634408,23.247268469610653]}"
62,31.863813890000017,0.1264597931264598,0.06034831915755366,"{""type"":""Point"",""coordinates"":[77.4036361294879,23.264164501782833]}"
63,28.567133600000034,0.03807962980815579,0.13502445683084974,"{""type"":""Point"",""coordinates"":[77.4563854105019,23.18624261880058]}"
64,31.988571620000016,-0.04294826364280652,0.1948684637869438,"{""type"":""Point"",""coordinates"":[77.4463437478509,23.216305002224676]}"
65,30.947784530000035,0.021133764296369966,0.32961837217156364,"{""type"":""Point"",""coordinates"":[77.41051106214246,23.1944380564909]}"
66,29.54981435000002,0.03594222371514948,0.11586314152410575,"{""type"":""Point"",""coordinates"":[77.43540860953998,23.203593921245957]}"
67,31.80399854000001,-0.010728654447921324,0.39697250540624035,"{""type"":""Point"",""coordinates"":[77.3664456706516,23.322939861912534]}"
68,31.72196606,-0.02955511770195997,0.4092264017033357,"{""type"":""Point"",""coordinates"":[77.37126996516648,23.2225604296141]}"
69,30.50515094000002,-0.14112495789828225,0.46730186227804243,"{""type"":""Point"",""coordinates"":[77.38955490586861,23.219105987137475]}"
70,34.347005420000016,0.14139381745015547,0.2652291105121294,"{""type"":""Point"",""coordinates"":[77.39085259387306,23.205813097018833]}"
71,31.720257049999987,-0.08832626875930806,0.46063960639606394,"{""type"":""Point"",""coordinates"":[77.36465073027695,23.194824505550645]}"
72,32.726863940000044,-0.0016143497757847534,0.23621872924507417,"{""type"":""Point"",""coordinates"":[77.45803001039766,23.29334253976958]}"
73,37.73939027000006,0.2263010733291242,0.17926862799010174,"{""type"":""Point"",""coordinates"":[77.33627297782355,23.28736720943799]}"
74,34.92294178999998,0.10447185813415574,0.37740883486510524,"{""type"":""Point"",""coordinates"":[77.34636307242717,23.306593941964472]}"
75,26.69064062000001,-0.3799575466428332,0.7246579167830215,"{""type"":""Point"",""coordinates"":[77.33769934510494,23.23544510430284]}"
76,34.27522700000003,-0.005670220004536176,0.26577219526120466,"{""type"":""Point"",""coordinates"":[77.43774556171898,23.273335777488747]}"
77,26.17622861000001,-0.42127659574468085,0.6169983862291555,"{""type"":""Point"",""coordinates"":[77.32324454627096,23.2304668112192]}"
78,33.14215337000002,-0.1106480103205319,0.5396890906589628,"{""type"":""Point"",""coordinates"":[77.33860327582961,23.20313412189083]}"
79,28.69018232000002,-0.2846226035661617,0.6719595184086546,"{""type"":""Point"",""coordinates"":[77.4123879882143,23.232358184237455]}"
80,32.964416330000006,-0.017648407059362825,0.3975448536355052,"{""type"":""Point"",""coordinates"":[77.46530765151219,23.311438815166277]}"
81,31.339147819999994,-0.12828947368421054,0.45913096323305985,"{""type"":""Point"",""coordinates"":[77.38948201350539,23.33206602269142]}"
82,33.499336459999995,0.02577495174293176,0.3807531380753138,"{""type"":""Point"",""coordinates"":[77.46749025448618,23.254232196598178]}"
83,32.50811066000006,0.05539830165790538,0.33485714285714285,"{""type"":""Point"",""coordinates"":[77.38982596101094,23.331276965584085]}"
84,34.14876026000002,0.0034036759700476512,0.22408026755852842,"{""type"":""Point"",""coordinates"":[77.48822387765809,23.306862691601932]}"
85,30.718777190000026,0.015355805243445693,0.3932167461579226,"{""type"":""Point"",""coordinates"":[77.38276331809756,23.329397607493732]}"
86,28.792722920000017,0.11593375214163336,0.1847543242002143,"{""type"":""Point"",""coordinates"":[77.4593505758282,23.198521373450383]}"
87,28.80981301999998,-0.1332747510251904,0.6201842546063652,"{""type"":""Point"",""coordinates"":[77.42245056585911,23.216466907795716]}"
88,30.060808339999994,-0.1503371677905593,0.5092375748113454,"{""type"":""Point"",""coordinates"":[77.44455803341481,23.341179488550193]}"
89,30.992218790000038,-0.14350282485875707,0.44819690898683456,"{""type"":""Point"",""coordinates"":[77.46098112429853,23.3115763777506]}"
90,33.33185348000001,0.08306384551418276,0.10022172949002217,"{""type"":""Point"",""coordinates"":[77.45003576556257,23.254945306457255]}"
91,30.939239480000026,-0.06651685393258427,0.4347037484885127,"{""type"":""Point"",""coordinates"":[77.43647449549115,23.33940285208139]}"
92,22.836823070000037,-0.032407407407407406,-0.4520884520884521,"{""type"":""Point"",""coordinates"":[77.32501940361225,23.234391323704262]}"
93,23.098301600000013,-0.42896935933147634,0.34513274336283184,"{""type"":""Point"",""coordinates"":[77.3201324432498,23.257641143155812]}"
94,23.802413720000004,-0.4515625,0.015300546448087432,"{""type"":""Point"",""coordinates"":[77.49497204715374,23.265476846842176]}"
95,32.32011956000002,0.0018739352640545145,0.37810184640715044,"{""type"":""Point"",""coordinates"":[77.4709553222881,23.25690178014641]}"
96,30.464134700000045,-0.08996198789243981,0.5761400651465798,"{""type"":""Point"",""coordinates"":[77.42400673615646,23.215468289778826]}"
97,34.49056226000005,0.08193435229265848,0.1861443832955649,"{""type"":""Point"",""coordinates"":[77.48758838936071,23.241353334221873]}"
98,31.87748597000001,-0.03378103378103378,0.258048538880634,"{""type"":""Point"",""coordinates"":[77.43359866309218,23.301530257526878]}"
