system:index,NDBI,NDVI,.geo
169,0.021546261089987327,0.22699031931801764,"{""type"":""Point"",""coordinates"":[77.39028306661699,23.230843108306814]}"
170,-0.012094823415578132,0.3817701453104359,"{""type"":""Point"",""coordinates"":[77.48224309187466,23.290948703776458]}"
171,-0.34445534838076547,0.7464589235127479,"{""type"":""Point"",""coordinates"":[77.33414068209927,23.262061782994767]}"
172,-0.04144060948862981,0.49519390122638385,"{""type"":""Point"",""coordinates"":[77.40207602643395,23.213340964624837]}"
173,-0.3285198555956679,-0.15011547344110854,"{""type"":""Point"",""coordinates"":[77.3508914160614,23.251694239237683]}"
174,0.025684448207733558,0.32769230769230767,"{""type"":""Point"",""coordinates"":[77.36444390938539,23.317132192840923]}"
175,-0.26883336464399776,0.5993369642434289,"{""type"":""Point"",""coordinates"":[77.35455475195621,23.32886011998458]}"
176,-0.010416666666666666,0.34189723320158105,"{""type"":""Point"",""coordinates"":[77.38073307981793,23.343605421342286]}"
177,0.1252720677146312,0.20326014637391882,"{""type"":""Point"",""coordinates"":[77.3820347684613,23.260550564208025]}"
178,-0.01695583596214511,0.28789013732833957,"{""type"":""Point"",""coordinates"":[77.43020033178324,23.273493973236185]}"
179,-0.21879300176921565,0.5581804473485801,"{""type"":""Point"",""coordinates"":[77.36025202532377,23.328289826497667]}"
180,0.008366501502721144,0.5500253936008126,"{""type"":""Point"",""coordinates"":[77.39213559157389,23.28352648034774]}"
181,0.05611405593127399,0.19288519288519287,"{""type"":""Point"",""coordinates"":[77.40383148478547,23.2782036345457]}"
182,-0.022560078469838155,0.3844621513944223,"{""type"":""Point"",""coordinates"":[77.37537076643616,23.325077922753497]}"
183,0.0920999866328031,0.15805626598465472,"{""type"":""Point"",""coordinates"":[77.42079624770149,23.199269829224317]}"
184,0.0955585464333782,0.24990035870864885,"{""type"":""Point"",""coordinates"":[77.46587092324242,23.2675710765472]}"
185,-0.08595278466153645,0.5736155736155736,"{""type"":""Point"",""coordinates"":[77.42535980638755,23.19765740534541]}"
186,0.0799651061355045,0.09632709632709632,"{""type"":""Point"",""coordinates"":[77.40689349412989,23.27102157528488]}"
187,-0.06173867777199375,0.46480896294168345,"{""type"":""Point"",""coordinates"":[77.35625466206358,23.18890139819862]}"
188,-0.03922404604561927,0.4291996481970097,"{""type"":""Point"",""coordinates"":[77.47897284014066,23.203863842410346]}"
189,-0.03932832523199293,0.25876371420925875,"{""type"":""Point"",""coordinates"":[77.41244470128464,23.34266664963184]}"
190,-0.12490073737946682,0.4543854502786741,"{""type"":""Point"",""coordinates"":[77.49900194643658,23.2622097996197]}"
191,0.08533494266747134,0.18129384255650818,"{""type"":""Point"",""coordinates"":[77.43394117785493,23.18655414580166]}"
192,0.030617051342439944,0.27304218730669305,"{""type"":""Point"",""coordinates"":[77.50330601773902,23.256946939707028]}"
193,-0.13958587088915955,0.4197268588770865,"{""type"":""Point"",""coordinates"":[77.38892913254276,23.211397704657305]}"
194,0.07111378205128205,0.13624111737319283,"{""type"":""Point"",""coordinates"":[77.43212594487333,23.26447765746366]}"
195,-0.17760571768910066,0.5575862612257759,"{""type"":""Point"",""coordinates"":[77.41070330634042,23.233147583823843]}"
196,-0.18233618233618235,0.5768566493955095,"{""type"":""Point"",""coordinates"":[77.44085728610222,23.19811894746783]}"
197,-0.013606207129202744,0.23530217897766206,"{""type"":""Point"",""coordinates"":[77.48866349308845,23.21956857489013]}"
198,-0.04171556598741065,0.3300640239749353,"{""type"":""Point"",""coordinates"":[77.35572070117023,23.28441126963196]}"
199,0.08200020122748768,0.10126735063367531,"{""type"":""Point"",""coordinates"":[77.42251625849897,23.245888078985153]}"
